symbol,exchange,name
500325,BSE,Reliance Industries
532540,BSE,TCS
500209,BSE,Infosys
500180,BSE,HDFC Bank
500247,BSE,Kotak Mahindra Bank
500114,BSE,ICICI Bank
544229,BSE,Pricol
